IRIS,LIBIRIS,COM,LIBCOM,DEC_PIMP18,DEC_TP6018,DEC_Q118,DEC_MED18,DEC_Q318,DEC_EQ18,DEC_D118,DEC_D218,DEC_D318,DEC_D418,DEC_D618,DEC_D718,DEC_D818,DEC_D918,DEC_RD18,DEC_S80S2018,DEC_GI18,DEC_PACT18,DEC_PTSA18,DEC_PCHO18,DEC_PBEN18,DEC_PPEN18,DEC_PAUT18,DEC_NOTE18
590090402,Brigode,59009,Villeneuve-d'Ascq,,,30800.0,46640.0,69260.0,0.82,22900.0,28070.0,33440.0,38120.0,54490.0,64090.0,77400.0,128370.0,5.6,7.0,0.4,60.4,48.7,1.1,10.6,20.3,19.3,0
590090403,Annappes,59009,Villeneuve-d'Ascq,74.0,,23510.0,36880.0,54370.0,0.84,16840.0,21500.0,25930.0,31110.0,42230.0,50190.0,58700.0,85120.0,5.1,11.2,0.523,54.2,44.2,1.2,8.8,15.0,30.8,0
590090404,Moulin d'Ascq,59009,Villeneuve-d'Ascq,56.6,19.2,15360.0,24680.0,35560.0,0.82,8100.0,13560.0,17860.0,21190.0,28530.0,32930.0,39480.0,50990.0,6.3,7.9,0.365,67.2,60.8,2.3,4.1,27.3,5.5,0
590090405,Le Pron,59009,Villeneuve-d'Ascq,67.9,10.1,19430.0,27460.0,38550.0,0.7,12830.0,17750.0,21200.0,24190.0,31550.0,35890.0,42820.0,54150.0,4.2,5.7,0.334,73.1,64.4,2.0,6.7,20.2,6.7,0
590090501,Liberté,59009,Villeneuve-d'Ascq,60.8,,17460.0,25840.0,34270.0,0.65,12260.0,16600.0,19190.0,22810.0,28670.0,32690.0,38400.0,50820.0,4.1,5.0,0.319,73.9,66.4,2.1,5.4,21.5,4.6,0
590090502,Poste,59009,Villeneuve-d'Ascq,31.9,47.3,7960.0,13760.0,21780.0,1.0,3460.0,6770.0,9040.0,11310.0,16820.0,20220.0,24170.0,29700.0,8.6,10.9,0.396,76.2,67.5,5.4,3.3,20.8,3.0,0
590090504,Résidence Est,59009,Villeneuve-d'Ascq,29.1,48.3,7470.0,13640.0,20760.0,0.97,2840.0,6340.0,8590.0,10740.0,16430.0,19260.0,22460.0,29170.0,10.3,11.3,0.387,73.9,65.8,6.1,2.0,23.4,2.7,0
590090505,Résidence Ouest,59009,Villeneuve-d'Ascq,27.4,49.9,6040.0,12990.0,19880.0,1.07,840.0,4610.0,7300.0,9860.0,15630.0,18490.0,21610.0,27150.0,32.4,22.2,0.424,71.1,63.3,4.9,2.9,25.7,3.2,0
590090602,Triolo Est,59009,Villeneuve-d'Ascq,51.6,22.8,13800.0,22090.0,34020.0,0.92,7670.0,12150.0,15910.0,18040.0,25580.0,31600.0,36890.0,48880.0,6.4,7.9,0.37,63.0,59.1,2.6,1.3,33.1,3.9,0
590090603,Triolo Ouest,59009,Villeneuve-d'Ascq,27.5,60.4,5080.0,10440.0,17650.0,1.2,690.0,4110.0,6290.0,8350.0,12870.0,15820.0,19360.0,24060.0,34.8,21.5,0.422,78.0,70.4,6.8,0.8,20.5,1.5,0
590090701,Pont de Bois,59009,Villeneuve-d'Ascq,14.2,77.5,3130.0,7380.0,12450.0,1.26,10.0,2090.0,4100.0,5910.0,9480.0,11040.0,13940.0,18930.0,2091.8,38.3,0.457,83.5,71.5,10.6,1.4,14.8,1.7,0
590090703,Veterans,59009,Villeneuve-d'Ascq,,,4660.0,10590.0,17000.0,1.16,10.0,3050.0,6100.0,8570.0,12760.0,15450.0,18860.0,23120.0,2889.8,36.3,0.434,84.9,74.1,9.0,1.8,13.7,1.4,0
590090704,Hôtel de Ville,59009,Villeneuve-d'Ascq,28.6,53.5,5590.0,12170.0,18760.0,1.08,460.0,3960.0,7350.0,9570.0,14580.0,17050.0,20460.0,25610.0,55.5,23.2,0.41,80.7,72.8,6.7,1.2,18.1,1.2,0
590090705,Valmy,59009,Villeneuve-d'Ascq,34.8,52.1,5890.0,12190.0,20280.0,1.18,1960.0,4640.0,7530.0,10030.0,15060.0,18640.0,23200.0,30350.0,15.5,17.6,0.429,78.4,69.8,5.9,2.7,19.3,2.3,0
590110101,Nord Ouest,59011,Annoeullin,55.2,16.1,16990.0,23370.0,31850.0,0.64,9990.0,14590.0,18500.0,21040.0,26170.0,29650.0,34260.0,41930.0,4.2,5.5,0.301,77.5,70.5,2.9,4.1,19.8,2.7,0
590110102,Nord,59011,Annoeullin,43.4,22.6,13870.0,20100.0,26500.0,0.63,7790.0,12250.0,15200.0,17660.0,22360.0,25190.0,28790.0,34040.0,4.4,5.6,0.298,64.1,59.1,3.3,1.7,33.5,2.4,0
590110103,Sud Est,59011,Annoeullin,52.2,14.9,16580.0,22460.0,29790.0,0.59,10850.0,14880.0,17670.0,19910.0,25200.0,27840.0,32050.0,39920.0,3.7,4.9,0.299,71.6,64.2,2.5,4.9,24.1,4.3,0
590140101,nord est,59014,Anzin,24.1,50.3,6690.0,12880.0,19210.0,0.97,430.0,4860.0,8100.0,10390.0,15430.0,17770.0,20760.0,24340.0,57.2,19.4,0.387,69.7,64.7,4.1,0.9,28.4,1.9,0
590140102,Centre 1,59014,Anzin,27.1,47.8,7200.0,13470.0,20100.0,0.96,950.0,5670.0,8340.0,10990.0,16150.0,19000.0,22050.0,27650.0,29.0,16.2,0.398,65.4,56.1,4.3,5.0,32.1,2.5,0
590140103,nord ouest,59014,Anzin,27.0,46.2,6930.0,13610.0,19750.0,0.94,1260.0,5230.0,8390.0,10790.0,15970.0,18730.0,21150.0,25350.0,20.1,14.7,0.376,71.0,,,,27.8,1.2,0
590140104,Centre 2,59014,Anzin,32.4,43.0,7860.0,14810.0,21420.0,0.92,1730.0,6120.0,9420.0,12060.0,17560.0,19580.0,22900.0,28310.0,16.3,14.6,0.389,70.2,62.4,4.2,3.6,27.4,2.4,0
